Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Canada,Maize,1998,403.51,95.61,16.54,43072.8
Mexico,Cassava,2007,2092.09,87.14,19.71,88452.4
Argentina,Potatoes,2000,2148.49,19.56,36.9,44029.6
India,Yams,2004,806.94,7.5,19.6,114226.9
United States,Sweet potatoes,1996,1945.82,27.14,33.95,47219.1
South Africa,Rice,2021,2245.88,255.93,29.65,32519.8
United States,Yams,1992,2021.02,75.73,31.49,36245.8
South Africa,Sweet potatoes,2000,1332.25,17.83,12.45,108873.6
United States,Rice,1998,730.87,6.62,29.53,42488.7
United States,Rice,1996,1104.52,36.16,22.79,53504.6
South Africa,Yams,1998,2079.11,6.65,27.24,44244.5
Nigeria,Maize,2013,408.13,22.05,28.31,62448.3
Indonesia,Sorghum,1995,2363.1,24.63,31.25,5358.8
Brazil,Soybeans,1994,696.19,108.19,31.31,18822.3
India,Potatoes,2003,2432.27,22.96,34.04,38247.1
South Africa,Wheat,1990,1425.32,177.46,36.81,12834.4
Japan,Potatoes,1999,1524.5,85.99,32.51,78275.4
Indonesia,Wheat,2000,1470.79,50.19,37.32,15780.6
Brazil,Soybeans,2013,1497.83,52.52,19.09,22621.1
United States,Plantains and others,1997,2660.5,95.32,17.97,38874.1
Australia,Plantains and others,2001,2076.52,14.63,24.32,55987.7
Egypt,Soybeans,1997,562.33,19.5,23.17,26998.2
Indonesia,Sweet potatoes,2016,802.65,24.58,25.51,174643.8
Indonesia,Potatoes,1999,1255.09,54.47,26.23,179505.6
France,Cassava,2014,974.82,10.51,13.95,109914.1
Egypt,Yams,2015,713.98,32.64,22.19,149566.4
France,Wheat,2011,1739.97,31.67,13.89,28178.5
India,Rice,2018,1989.61,90.96,13.53,32681.9
Mexico,Yams,2022,691.75,58.74,37.36,49249.0
Nigeria,Maize,2012,2715.03,48.53,21.15,25449.7
Brazil,Plantains and others,1998,1576.8,11.83,12.13,56385.2
India,Plantains and others,2019,1119.39,8.91,13.91,97776.0
India,Rice,1997,1506.54,19.85,34.11,27947.6
Germany,Sorghum,2018,2936.13,10.9,17.52,9451.6
Japan,Cassava,2006,2334.4,7.0,36.34,18455.2
Egypt,Sorghum,1993,2663.74,40.74,14.14,8924.7
Nigeria,Maize,2010,1698.21,84.85,27.49,53194.2
South Africa,Cassava,1993,1693.82,91.71,37.52,41865.8
China,Sweet potatoes,2018,1239.97,7.01,21.44,145434.3
India,Potatoes,1997,1795.51,14.17,33.78,62439.1
Nigeria,Yams,1991,2971.63,17.04,22.86,45907.7
Germany,Sweet potatoes,1993,1874.08,80.74,20.81,118480.7
Australia,Plantains and others,2021,1515.45,19.81,35.17,41155.6
Canada,Maize,2007,1406.58,159.35,17.35,45144.6
Argentina,Cassava,2023,2688.6,24.87,22.99,51147.4
France,Soybeans,1997,2496.43,110.93,34.29,6974.2
Brazil,Soybeans,2012,726.89,5.42,37.22,10135.9
Mexico,Sorghum,2020,2678.29,5.41,28.68,6277.4
Nigeria,Rice,2007,2032.97,7.52,14.69,30744.0
Indonesia,Potatoes,2022,1159.28,10.58,16.9,284535.1
Mexico,Sorghum,1994,2568.43,150.36,34.48,3191.1
Mexico,Potatoes,2022,636.57,83.02,13.67,223761.2
Brazil,Maize,2023,1703.94,16.89,33.09,29956.4
Egypt,Plantains and others,1997,2393.18,33.26,18.55,42230.3
Mexico,Potatoes,2022,1195.26,21.53,33.86,88422.5
France,Soybeans,2010,1790.22,14.04,36.32,12592.0
United States,Sweet potatoes,2004,1570.77,35.45,17.35,169500.7
India,Maize,2017,2660.64,62.27,26.07,22302.1
India,Yams,1994,1699.47,18.1,31.34,46630.8
Nigeria,Rice,1990,1050.79,43.88,16.93,42693.7
Canada,Rice,1994,543.81,46.66,19.02,36853.1
India,Potatoes,2023,1804.76,80.93,21.53,182883.4
Mexico,Sorghum,2018,942.26,47.26,23.5,22220.8
Nigeria,Maize,2000,2025.04,15.46,13.64,22860.2
Argentina,Wheat,2004,1251.65,199.0,19.9,37991.6
United States,Soybeans,2001,1920.35,127.23,18.03,18957.8
Mexico,Sweet potatoes,2009,2655.2,81.1,12.4,59299.8
Canada,Potatoes,2009,1203.24,9.49,30.98,142378.2
Indonesia,Sweet potatoes,2015,809.46,12.35,26.33,172512.4
Nigeria,Wheat,2014,794.05,16.28,34.34,18117.1
Egypt,Maize,2004,360.82,35.34,32.68,50373.1
Indonesia,Sweet potatoes,2007,815.3,8.35,31.21,97736.2
Australia,Rice,1994,1105.6,41.31,30.19,39017.0
Indonesia,Potatoes,2009,2978.08,58.3,26.09,89767.7
Germany,Sweet potatoes,1994,2033.73,28.56,37.54,39167.8
Japan,Cassava,2013,1247.43,20.77,19.72,123026.6
Indonesia,Maize,2003,2014.87,30.88,12.42,23911.5
Germany,Potatoes,2020,2945.56,24.6,18.13,96790.3
Canada,Plantains and others,2005,1330.3,30.23,17.03,102359.6
Argentina,Yams,2004,338.56,115.01,29.3,80443.0
South Africa,Cassava,2015,482.49,51.52,29.68,92670.0
Argentina,Yams,2009,2253.96,32.04,25.66,49043.6
Egypt,Soybeans,2000,1022.74,75.51,21.95,28400.5
France,Sweet potatoes,1990,2726.14,29.37,32.26,26881.4
South Africa,Cassava,2003,2908.49,88.41,14.85,47612.1
Argentina,Rice,2018,1165.69,6.78,26.08,48579.2
Egypt,Soybeans,2017,2557.48,123.7,13.87,10090.9
Mexico,Soybeans,2003,2342.18,152.75,30.64,10123.5
United States,Plantains and others,2007,288.08,64.45,23.4,99378.7
Mexico,Sweet potatoes,2022,976.65,37.3,24.24,182721.9
Brazil,Yams,2006,1876.74,142.29,32.21,35376.7
Mexico,Rice,2019,930.99,21.34,35.64,29118.1
France,Wheat,2013,1965.18,71.48,34.35,10730.3
Mexico,Wheat,1998,1541.27,50.73,14.05,26622.6
China,Wheat,2019,687.05,97.48,19.39,35005.8
Egypt,Soybeans,1998,1331.28,61.71,31.86,22264.1
Japan,Potatoes,2015,1304.89,14.91,19.41,189915.8
China,Maize,2020,2579.64,98.2,36.03,10900.0
Brazil,Potatoes,1992,1889.22,60.27,29.03,88855.8
China,Cassava,1995,2540.59,76.03,20.35,45593.7
China,Soybeans,1991,2308.96,22.43,31.85,7126.0
France,Soybeans,2004,1312.87,16.81,25.55,26000.1
Canada,Cassava,2004,1396.17,49.77,31.09,78884.3
Germany,Cassava,1998,2222.04,52.74,15.92,58206.8
Mexico,Plantains and others,2022,2220.56,12.59,34.8,18695.6
Brazil,Potatoes,2016,1479.55,24.9,16.11,190261.5
Indonesia,Plantains and others,2006,2379.78,7.9,25.65,35454.2
Germany,Plantains and others,2014,1916.44,14.46,12.54,63962.7
Brazil,Soybeans,2015,2519.91,47.16,19.96,10260.4
Brazil,Yams,2012,1959.79,14.48,18.72,61434.8
France,Yams,1994,2294.65,59.89,27.15,33790.8
Australia,Maize,2006,1726.67,41.32,14.46,33590.7
China,Maize,1994,2038.64,95.7,21.71,27586.2
Japan,Plantains and others,1997,1639.32,27.58,30.99,42435.3
Mexico,Wheat,2008,1957.36,141.86,19.78,22194.8
Canada,Potatoes,1996,1842.45,52.47,33.33,59597.1
Indonesia,Potatoes,1994,1919.52,16.55,15.77,139416.2
Argentina,Cassava,2010,581.29,19.41,26.11,110209.1
Indonesia,Potatoes,1995,2416.41,160.52,22.75,91799.1
Indonesia,Rice,1990,971.42,29.04,21.75,47024.4
Japan,Maize,2003,347.91,89.94,33.45,28757.3
Japan,Yams,2016,1870.66,21.94,27.4,60760.8
Brazil,Soybeans,1994,2950.79,28.59,17.21,8147.9
Indonesia,Plantains and others,2021,1742.89,12.81,27.89,69454.8
Germany,Sweet potatoes,2008,1245.25,32.02,19.82,160692.6
Germany,Rice,1992,2126.71,165.59,23.92,30655.8
Egypt,Rice,1993,618.98,34.87,19.24,44938.1
Nigeria,Maize,2020,434.93,41.35,17.85,58500.9
Canada,Rice,1995,782.09,85.55,28.24,45877.8
Nigeria,Maize,2007,1135.89,165.75,25.52,63149.4
Mexico,Wheat,2010,2243.75,42.89,33.54,5682.7
Egypt,Sorghum,2022,679.61,173.37,25.7,26482.7
Argentina,Maize,2023,774.72,75.35,32.9,47441.0
Argentina,Sorghum,2017,2895.67,8.73,18.98,9149.0
India,Rice,1999,1352.16,67.78,24.66,47509.6
China,Potatoes,1990,2647.19,114.15,12.29,60480.9
Mexico,Plantains and others,1998,2618.83,50.35,26.94,32041.3
Australia,Sorghum,1997,2692.3,45.23,37.16,3472.0
Canada,Rice,1995,1618.09,107.35,17.55,47648.5
United States,Soybeans,2012,1917.08,30.57,12.31,12599.1
Egypt,Maize,2020,1749.33,8.84,19.43,45789.2
Canada,Yams,1994,358.52,14.31,19.42,109841.7
Egypt,Sorghum,2004,509.35,93.45,30.08,13785.7
Canada,Yams,2002,1444.27,99.66,28.01,81563.7
Argentina,Plantains and others,2012,1158.81,320.94,12.09,81956.2
France,Yams,2007,2013.02,12.33,27.32,56101.9
Argentina,Sweet potatoes,1990,518.09,106.3,15.36,141890.7
Japan,Soybeans,2021,2184.14,8.22,12.91,9314.1
Brazil,Potatoes,2009,382.76,34.32,34.12,69357.4
Nigeria,Cassava,1991,217.16,36.19,12.64,98230.0
India,Rice,1990,2832.66,64.03,34.56,12995.3
Egypt,Plantains and others,2005,248.08,152.49,21.59,101085.2
Brazil,Soybeans,1993,1361.25,6.84,20.36,19930.2
Nigeria,Rice,2011,1359.98,194.01,27.14,60035.3
Canada,Cassava,2007,762.38,15.29,18.62,164042.4
France,Plantains and others,1990,1531.62,22.79,20.4,81508.9
China,Soybeans,2007,1976.43,92.92,23.12,16456.0
Egypt,Wheat,2019,2550.95,32.76,28.76,14132.1
South Africa,Plantains and others,2015,2784.64,46.62,20.56,36717.5
Australia,Cassava,2008,1842.91,21.05,12.84,87456.1
Argentina,Plantains and others,2002,744.11,187.36,21.4,107779.7
Argentina,Potatoes,2004,445.3,29.03,25.17,179943.2
Mexico,Maize,2020,2941.57,20.76,30.01,17517.6
China,Yams,1996,964.18,14.3,24.58,78598.4
United States,Rice,2018,2322.61,50.37,19.13,36014.3
Japan,Wheat,2016,497.66,123.62,37.94,14182.4
United States,Wheat,1991,2507.77,77.67,21.75,12255.0
India,Plantains and others,1996,2851.31,6.63,13.19,31093.2
Australia,Maize,2002,1787.32,15.93,29.03,37953.4
Brazil,Sweet potatoes,1996,321.51,8.44,26.35,105550.6
Germany,Sweet potatoes,2012,2573.72,28.63,26.92,51175.9
United States,Potatoes,1994,2030.64,270.45,36.38,51177.9
South Africa,Wheat,2023,2844.13,52.18,30.61,8603.3
Mexico,Maize,2004,2486.1,22.86,23.28,24136.6
China,Cassava,2004,592.75,43.57,27.42,75104.8
Brazil,Sweet potatoes,2015,2742.3,8.01,27.3,57535.4
Japan,Rice,2013,2412.79,22.04,22.07,27889.0
Brazil,Rice,2002,2891.09,15.34,21.13,18487.6
Japan,Soybeans,2011,1380.54,30.07,37.65,11297.6
Indonesia,Sorghum,1995,426.84,24.03,37.12,8618.0
Nigeria,Maize,1990,1602.42,18.18,26.09,41133.4
South Africa,Cassava,2003,2594.94,61.22,16.43,48231.8
Egypt,Wheat,2008,2833.81,76.68,30.1,11142.4
Mexico,Soybeans,1999,2394.97,118.75,23.41,10551.2
Australia,Rice,2001,1071.38,99.87,27.68,44919.5
United States,Plantains and others,2019,269.06,61.25,36.24,45057.0
Germany,Potatoes,2020,2826.15,42.67,12.26,75826.2
United States,Maize,1994,2087.86,25.48,16.41,23876.8
Mexico,Wheat,1997,2975.04,33.23,34.61,6767.5
Germany,Cassava,2004,465.53,26.3,12.95,114083.7
Brazil,Rice,1997,715.75,21.97,18.46,33720.2
Brazil,Rice,2018,1720.73,219.98,23.24,48844.3
Argentina,Yams,2015,2580.54,139.64,27.63,39402.1
Canada,Cassava,2002,1251.42,34.65,32.54,64022.3
Argentina,Yams,1990,856.34,43.02,14.97,103767.0
Australia,Sweet potatoes,2003,1106.78,17.42,37.25,63361.6
Australia,Soybeans,2014,797.65,43.44,33.72,25731.2
South Africa,Cassava,1993,1714.88,136.05,36.23,31602.4
France,Soybeans,1993,837.59,10.21,23.27,24862.0
Nigeria,Sorghum,2007,1785.89,62.21,20.81,16044.2
Australia,Wheat,1992,887.41,57.72,33.64,17467.4
Argentina,Yams,1996,2025.28,6.97,16.77,57129.1
Indonesia,Sorghum,1998,2102.34,46.67,23.34,11561.1
United States,Rice,2021,753.55,27.63,29.34,53775.0
China,Soybeans,2006,256.95,69.48,12.92,14670.9
United States,Sweet potatoes,2000,1032.56,19.88,21.92,146914.9
Japan,Wheat,2013,659.94,98.53,33.12,13133.4
Japan,Sweet potatoes,1991,249.18,53.28,23.91,120051.7
Indonesia,Potatoes,2018,2833.3,25.45,25.78,91599.4
Australia,Plantains and others,2006,1064.1,51.74,16.81,97822.1
Argentina,Potatoes,2012,1332.65,45.34,36.39,88907.3
Egypt,Rice,1999,2357.16,28.17,30.99,24596.1
China,Wheat,1990,946.34,26.15,28.88,20639.6
Indonesia,Sweet potatoes,2022,2864.14,55.71,32.48,35853.5
United States,Soybeans,1994,2661.18,75.26,36.27,6610.3
United States,Soybeans,1993,2201.1,29.22,32.04,10698.1
Australia,Sorghum,2011,770.86,121.56,19.17,23640.7
Indonesia,Soybeans,2022,1286.48,38.83,19.68,31292.0
Australia,Potatoes,1994,2756.11,75.31,17.91,95035.3
Nigeria,Yams,2010,2489.91,35.4,32.79,22021.5
Nigeria,Potatoes,1995,253.85,10.95,37.75,64304.6
Mexico,Yams,1994,381.16,71.19,20.37,85789.3
Egypt,Wheat,2023,1438.92,13.45,27.49,33175.9
Nigeria,Sorghum,1999,1519.5,6.36,14.39,16920.5
South Africa,Rice,1997,296.13,207.46,34.49,26852.8
India,Rice,2019,1687.36,62.41,18.17,50973.6
United States,Soybeans,1996,2194.3,28.57,36.12,7773.1
Mexico,Potatoes,2010,2796.53,65.67,18.37,84103.4
South Africa,Potatoes,2018,2067.14,138.06,29.87,87265.5
Germany,Sweet potatoes,2007,2592.98,15.8,16.2,65296.0
Mexico,Potatoes,2008,2905.51,187.1,13.02,70087.4
Australia,Rice,1999,2078.63,65.4,15.18,28014.1
France,Plantains and others,2019,904.93,28.49,32.8,45438.3
Nigeria,Cassava,1995,2646.7,7.71,35.12,21717.6
Nigeria,Soybeans,1990,2606.21,10.36,21.02,9674.1
Germany,Maize,2007,2239.41,118.57,13.37,17578.9
Germany,Rice,2017,1641.35,8.3,21.27,44399.4
France,Cassava,2015,1554.93,89.12,36.8,45804.4
Canada,Cassava,2005,283.39,140.55,25.7,106628.5
Germany,Sweet potatoes,2001,1081.13,37.88,37.19,59886.9
China,Potatoes,2007,2921.11,27.23,22.54,78558.7
Egypt,Sorghum,2000,280.07,124.78,33.36,9408.4
Brazil,Plantains and others,2018,722.76,16.06,24.28,101285.5
Brazil,Maize,2022,614.27,28.75,29.78,46272.9
Japan,Yams,2010,2999.49,43.12,33.49,15178.7
India,Yams,2010,249.8,6.71,24.56,95434.3
Australia,Cassava,1996,2410.47,61.0,27.84,39048.4
Germany,Yams,1997,708.16,11.41,15.73,109808.1
Japan,Wheat,2005,1459.13,52.45,29.9,22523.4
Argentina,Cassava,2009,2003.04,52.45,30.7,52431.0
Germany,Yams,2021,2644.45,21.72,27.38,46515.0
China,Yams,2018,2225.4,29.04,20.3,51092.6
Japan,Cassava,1993,2125.76,36.86,34.79,24989.0
Australia,Potatoes,2012,402.37,73.25,31.71,107800.4
Brazil,Sorghum,2015,1549.1,64.78,13.36,17198.1
United States,Sweet potatoes,2002,2410.43,14.88,26.9,55179.1
South Africa,Maize,2003,1968.13,9.48,36.62,18490.3
France,Maize,2020,1289.65,75.5,13.9,38358.4
Nigeria,Cassava,1991,1767.56,19.18,37.41,42869.3
South Africa,Yams,2005,203.16,117.33,20.09,85649.6
Canada,Yams,2007,2717.27,10.39,15.71,44550.8
Japan,Soybeans,2010,2871.63,237.64,33.0,8191.3
Egypt,Yams,2006,2227.22,15.29,35.65,23262.7
United States,Yams,2023,2398.68,44.87,29.68,36563.8
China,Cassava,2002,2244.21,16.97,14.05,50840.5
Brazil,Potatoes,1990,1090.98,12.88,36.83,74542.7
Nigeria,Maize,2023,2937.63,83.17,24.74,27050.0
Mexico,Soybeans,2019,2324.54,15.58,26.77,12255.7
Canada,Maize,2002,1335.46,47.06,32.56,44957.2
Brazil,Potatoes,2013,1194.37,21.5,18.82,210283.0
Canada,Soybeans,1990,2318.49,7.67,33.77,7111.9
China,Sorghum,1991,550.75,52.5,17.19,18147.8
United States,Potatoes,2023,2705.07,5.58,37.11,36783.1
Australia,Sorghum,2020,1308.64,20.84,19.58,24132.7
United States,Rice,2005,1387.64,99.77,20.11,50622.0
Germany,Plantains and others,1993,1567.35,57.88,15.15,74573.5
Argentina,Soybeans,1991,1573.29,8.85,12.9,12853.4
China,Sweet potatoes,2020,583.26,63.17,37.82,74857.9
Brazil,Sorghum,2013,2264.97,11.86,25.31,6957.7
United States,Maize,2021,271.47,69.96,33.61,39301.4
France,Sorghum,2022,789.69,21.63,25.25,21308.8
Canada,Wheat,2008,1067.11,22.63,19.95,42953.9
Australia,Soybeans,2001,324.16,24.46,26.8,27033.5
Indonesia,Maize,1990,2740.29,20.32,19.31,18216.5
Germany,Cassava,2020,489.79,19.62,35.89,53433.4
Indonesia,Maize,1998,772.95,62.42,31.87,45357.8
United States,Wheat,2005,2150.31,50.41,15.19,22194.9
Argentina,Potatoes,2018,2478.16,53.19,33.79,30923.6
Egypt,Potatoes,2008,2597.16,18.12,34.07,40939.1
Japan,Cassava,1994,2323.54,25.37,21.86,41586.5
Japan,Potatoes,1999,1364.23,172.27,31.11,95853.5
South Africa,Cassava,2012,2703.84,8.64,37.49,18152.9
China,Sorghum,2005,2768.22,80.93,18.33,8245.7
Canada,Potatoes,1990,790.46,18.64,35.86,81568.1
China,Sweet potatoes,2005,2993.55,75.0,37.24,23241.9
Argentina,Soybeans,2018,409.39,129.55,31.28,22911.5
Nigeria,Yams,2000,1816.72,140.53,12.91,73082.5
Australia,Maize,1993,2029.61,62.85,29.81,32284.4
Egypt,Potatoes,2015,1305.63,51.87,13.05,213801.7
Brazil,Plantains and others,2013,490.13,95.72,26.31,86802.4
Argentina,Sweet potatoes,1997,534.04,10.42,14.01,148731.9
Brazil,Cassava,2004,1211.48,104.03,23.03,112457.7
Mexico,Plantains and others,2001,2749.32,39.94,18.99,41065.1
Nigeria,Potatoes,2022,2765.56,29.58,27.51,84857.8
Japan,Soybeans,1990,2143.16,25.54,14.7,9170.1
South Africa,Sweet potatoes,2000,254.05,173.18,15.88,127783.6
Brazil,Rice,2017,1582.94,41.02,16.26,41521.1
Germany,Rice,2022,1570.46,38.54,14.02,36201.9
Indonesia,Maize,1998,1008.72,31.3,25.62,52115.9
India,Soybeans,2014,1409.89,45.14,33.66,22754.4
Egypt,Yams,2022,1848.34,17.65,34.03,46046.4
South Africa,Soybeans,2014,1336.84,213.95,32.03,22828.1
Nigeria,Wheat,2013,709.12,34.51,18.35,45527.0
France,Yams,1991,1900.51,5.01,32.94,24892.8
Brazil,Wheat,2007,1776.35,15.36,32.82,10306.1
South Africa,Rice,2015,723.35,35.34,31.44,41101.4
India,Yams,2000,1775.57,188.67,29.91,56815.0
South Africa,Potatoes,2002,2258.32,22.15,19.89,82186.8
United States,Soybeans,1992,1996.05,15.29,19.87,17729.3
China,Soybeans,2013,1717.7,21.6,20.41,20012.1
United States,Cassava,2022,2054.99,28.2,28.8,65607.1
Nigeria,Wheat,2015,1484.76,17.18,24.84,35859.0
Mexico,Maize,2023,2173.51,23.47,20.2,32363.6
Indonesia,Cassava,2013,1789.91,26.49,30.33,61445.0
South Africa,Cassava,2005,2048.01,22.05,15.66,84795.5
Mexico,Sorghum,2020,227.46,19.22,14.7,17499.9
Brazil,Sorghum,2004,1899.13,103.57,12.4,13201.5
Mexico,Wheat,2010,2195.29,8.61,24.91,13946.8
France,Plantains and others,1994,554.54,89.49,35.88,35051.7
Brazil,Cassava,1998,2810.35,109.49,20.3,43646.5
Nigeria,Sorghum,1993,1082.52,109.05,21.03,21910.8
Nigeria,Sweet potatoes,2013,2914.8,22.56,28.31,53640.0
China,Plantains and others,2001,630.17,77.28,30.82,51414.6
Argentina,Yams,2020,2687.31,77.77,33.11,21516.3
Canada,Wheat,2002,266.66,7.65,36.93,15113.8
Egypt,Cassava,2008,1288.63,11.34,14.09,128621.7
India,Yams,2003,1661.08,43.76,25.46,77184.0
India,Plantains and others,2011,473.47,10.35,30.33,60770.4
Brazil,Sorghum,1999,2545.38,112.33,24.12,7013.6
Argentina,Wheat,2001,2583.61,33.4,31.73,7364.8
Germany,Sorghum,2014,1694.57,160.37,19.79,21622.0
Indonesia,Wheat,1999,624.67,9.28,23.22,36558.6
India,Wheat,2012,665.57,95.08,21.32,43988.6
Australia,Maize,2011,2357.23,91.1,30.17,21747.4
Australia,Yams,2006,2700.98,55.6,29.92,36521.1
United States,Yams,2023,2130.15,8.61,34.36,27090.3
Nigeria,Rice,2012,382.38,80.76,31.65,41231.3
India,Plantains and others,1994,2148.09,79.37,13.12,41981.5
United States,Potatoes,2002,2029.98,12.88,16.82,130724.2
Nigeria,Plantains and others,2022,2099.71,90.42,26.66,68233.3
Canada,Sweet potatoes,2009,2816.65,67.58,12.96,69260.2
South Africa,Wheat,2023,1236.46,97.0,34.46,17224.1
Canada,Plantains and others,2010,2273.3,34.07,35.1,17268.5
Indonesia,Rice,2003,1819.73,224.49,21.68,42774.7
Nigeria,Wheat,2008,2187.52,61.53,27.26,16668.6
United States,Potatoes,2005,561.47,35.49,19.06,208198.4
Brazil,Maize,1994,1829.52,34.32,12.57,19846.0
Argentina,Rice,1998,2412.31,58.88,34.27,18379.1
Argentina,Rice,2021,2649.67,66.3,31.77,17444.6
Indonesia,Sweet potatoes,2019,1138.61,10.02,32.41,87174.4
India,Cassava,2008,1841.14,22.7,15.88,71694.5
Egypt,Yams,1996,2480.62,56.79,21.52,49057.8
Germany,Rice,2013,1895.75,210.28,18.31,50792.8
India,Maize,2006,1861.85,16.63,18.82,32495.3
Germany,Sweet potatoes,2005,1340.06,69.77,14.86,150069.5
France,Sweet potatoes,2005,362.4,44.35,14.15,143506.3
Egypt,Sweet potatoes,2014,1707.35,60.73,14.59,171904.1
Nigeria,Soybeans,2017,1165.33,37.97,16.8,23424.0
Germany,Sweet potatoes,2003,2774.4,26.81,30.71,38315.3
Canada,Potatoes,2014,2450.53,113.72,18.47,101837.3
France,Cassava,1992,2703.35,39.32,26.15,43187.6
France,Maize,1990,1525.0,182.54,21.68,38163.5
China,Sorghum,2007,2356.09,178.71,32.11,3839.6
South Africa,Sweet potatoes,2007,2959.22,25.81,20.11,63935.7
South Africa,Cassava,2008,2981.41,9.53,34.42,20865.4
Brazil,Plantains and others,2023,417.09,86.81,15.62,103144.4
United States,Maize,2021,238.09,31.54,13.91,37689.3
France,Sorghum,2022,494.82,18.69,16.86,19448.0
Brazil,Potatoes,2016,2203.89,29.77,31.92,48551.6
Nigeria,Wheat,2007,2726.22,7.55,25.63,14155.7
Nigeria,Sweet potatoes,1997,2810.86,54.79,36.29,26783.6
Egypt,Cassava,1991,2604.99,17.48,16.0,48253.5
France,Sorghum,2002,1173.67,30.53,21.38,17242.3
Canada,Cassava,2000,2212.08,34.02,15.7,71268.8
United States,Maize,1998,870.5,106.02,20.5,56525.8
Argentina,Soybeans,1996,713.98,21.77,22.83,26944.1
Mexico,Cassava,2013,1782.43,126.63,37.18,35259.9
Argentina,Sorghum,2001,919.62,31.14,24.96,21723.8
Mexico,Sorghum,2010,2576.16,76.08,27.64,7079.9
United States,Yams,2007,2958.09,115.04,32.05,22190.4
Japan,Wheat,2017,1412.9,12.74,16.37,32246.9
Japan,Maize,2016,815.09,37.88,13.1,27450.1
China,Cassava,2006,327.69,32.5,34.34,39481.5
United States,Cassava,1993,1859.56,138.9,34.78,41802.7
United States,Wheat,2010,1363.1,15.33,14.66,40177.8
China,Maize,2005,248.01,22.31,23.03,37511.1
Nigeria,Sweet potatoes,2000,2096.13,64.83,25.93,87866.8
Germany,Plantains and others,2002,2377.4,38.94,35.12,14389.0
Japan,Rice,1991,1645.15,25.23,19.19,31488.6
France,Yams,2021,737.96,59.99,26.94,101209.8
Nigeria,Sweet potatoes,2017,1988.43,42.99,31.98,53565.7
Brazil,Potatoes,2011,2403.57,25.34,34.91,35341.8
Argentina,Soybeans,1998,1239.11,64.78,24.37,27620.5
South Africa,Soybeans,2005,264.68,41.34,24.59,20310.5
Germany,Rice,2009,1699.77,12.37,26.0,44117.0
China,Maize,1995,2603.18,16.1,34.77,12106.8
United States,Plantains and others,2005,344.2,45.48,32.27,41902.4
Nigeria,Maize,2012,1669.18,6.13,30.63,42963.1
Nigeria,Sweet potatoes,2011,2331.56,159.21,21.66,75894.5
South Africa,Rice,2008,1297.99,97.94,32.98,33126.8
Nigeria,Wheat,1996,770.22,56.64,37.86,16734.4
Argentina,Plantains and others,2003,1234.9,26.73,29.38,57646.3
Germany,Plantains and others,1992,2906.14,55.52,32.33,16507.3
Japan,Yams,1999,1694.09,12.21,36.25,34042.9
United States,Plantains and others,2005,1907.25,21.03,30.16,40583.4
Australia,Sorghum,2012,2806.03,139.73,37.2,4122.8
Mexico,Soybeans,2021,2686.63,106.58,21.29,14426.4
Egypt,Maize,2005,2456.54,32.88,14.95,16520.6
Brazil,Sweet potatoes,1998,755.95,42.41,25.97,100652.1
Indonesia,Wheat,2005,2332.16,39.42,19.15,16990.6
Indonesia,Wheat,2008,1188.83,35.69,37.52,17250.3
South Africa,Potatoes,2003,2843.95,31.37,29.67,57520.3
China,Wheat,2002,2708.34,161.44,34.87,6028.3
Mexico,Yams,1991,2369.58,72.32,25.99,28602.7
Nigeria,Wheat,2019,789.93,95.68,19.54,44387.0
Nigeria,Sweet potatoes,2012,831.55,15.49,28.04,145911.9
Japan,Yams,2022,1012.83,93.03,29.47,88387.7
China,Yams,2003,556.3,8.18,37.9,40258.1
United States,Yams,2017,1595.31,92.04,33.22,45093.1
Indonesia,Soybeans,2009,1550.21,38.17,35.15,18778.7
United States,Potatoes,1996,1397.56,65.47,23.3,187242.9
Brazil,Plantains and others,1991,1148.04,17.69,21.34,81527.0
India,Potatoes,2005,2968.53,50.05,22.38,74158.0
Brazil,Sorghum,2010,749.19,36.59,34.41,9337.4
Germany,Sorghum,2020,796.23,29.76,20.27,23640.3
Japan,Soybeans,1999,2249.51,7.19,29.57,9083.3
Mexico,Sweet potatoes,2006,1363.57,29.25,31.2,82774.8
Mexico,Maize,2008,2502.7,31.66,12.37,13279.9
Egypt,Sorghum,1993,406.34,146.87,24.84,22001.7
Germany,Plantains and others,1996,410.96,151.53,35.93,35648.6
Brazil,Maize,2019,392.08,43.54,16.16,47014.0
Indonesia,Yams,2001,584.21,13.75,14.0,114543.6
United States,Potatoes,2022,1618.35,6.66,13.8,177429.1
Australia,Wheat,2004,1014.54,133.2,20.47,38971.8
China,Maize,2002,2086.68,49.44,26.98,28796.2
Mexico,Sweet potatoes,2012,1632.22,20.44,36.33,51632.6
Japan,Cassava,2014,2745.19,29.39,36.09,20049.2
South Africa,Rice,2007,2365.39,96.28,21.54,28324.7
Argentina,Maize,2005,585.15,322.95,13.28,40812.8
Australia,Soybeans,2002,1371.77,6.96,23.28,25001.7
Mexico,Cassava,2020,2540.2,51.86,22.1,63346.5
Mexico,Yams,2004,2828.81,51.74,16.12,46982.1
Canada,Maize,2010,901.12,114.62,31.65,51786.2
South Africa,Yams,2015,2685.44,55.8,34.15,17056.2
Indonesia,Sweet potatoes,2010,1693.54,40.75,26.2,129970.3
Canada,Sorghum,2013,2069.72,101.47,36.42,5310.5
